 Kantone,Schweizer + Schweizerinnen,Schweizer + Ausländerinnen,Ausländer + Schweizerinnen,Ausländer + Ausländerinnen
 Zürich, 113 , 90 , 77 , 82 
 Bern, 116 , 41 , 28 , 22 
 Luzern, 44 , 23 , 17 , 11 
 Uri, 7 ,0 ,0 , 2 
 Schwyz, 14 , 3 , 4 , 9 
 Obwalden, 4 , 1 , 1 ,0 
 Nidwalden, 7 , 2 , 2 , 1 
 Glarus, 3 , 1 ,0 ,0 
 Zug, 9 , 8 , 3 , 4 
 Fribourg, 35 , 22 , 9 , 5 
 Solothurn, 29 , 11 , 8 , 22 
 Basel-Stadt, 13 , 14 , 14 , 20 
 Basel-Landschaft, 26 , 15 , 8 , 3 
 Schaffhausen, 7 , 4 , 3 , 3 
 Appenzell A.Rh.,0 , 1 , 1 ,0 
 Appenzell I.Rh.,0 ,0 ,0 , 1 
 St. Gallen, 58 , 29 , 20 , 21 
 Graubünden, 22 , 10 , 6 , 12 
 Aargau, 66 , 46 , 38 , 34 
 Thurgau, 21 , 13 , 12 , 9 
 Ticino, 10 , 12 , 13 , 10 
 Vaud, 40 , 29 , 25 , 32 
 Valais, 53 , 17 , 14 , 13 
 Neuchâtel, 8 , 8 , 4 , 11 
 Genève, 19 , 38 , 25 , 51 
 Jura, 9 , 4 , 3 ,0 
